Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,24/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Kenya,KEN,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.828577085,7.090274539,7.250743554,8.367216127,4.567318861,4.669163456,5.46920801,7.953062623,,
Kenya,KEN,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,118000,55000,220000,,,27000,10000,1800,3900,4600,15000,7700
Kenya,KEN,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,13.43283558,,12.93532372,,21.39303398,32.33831024,34.13461685,33.65384674,36.53845978,34.13461685,32.69230652,30.33175278,34.59715652,31.92488289,34.27230072,35.6807518,35.96059036,35.96059036,35.96059036,34.48275757,30.58252335,31.884058,32.85024261,32.85024261,36.71497726,38.23529434
Kenya,KEN,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,35.55082491,33.99503722,40.34690799,42.18443427,40.30959752,45.81931142,53.63813772,56.14435815,53.87484459,54.48176756,60.09410381,64.85135491,64.97941929,66.40684411,67.21898094,60.16471119,58.39143304,58.41085112,38.70386651,37.34929954,35.60672357,39.532114,39.50398042,37.96126765,34.06754313,38.70386651,37.34929954,35.60672357,39.532114,39.50398042,37.96633751,34.60745926,37.91665445,29.7188917,31.38939499,26.52593906,27.67819015,23.29875923,20.96728458,19.69559545,19.52133629,24.45439023,24.19622864,23.18065795,21.7647854,18.87746129,19.80083932,19.8195477,20.91999894
Kenya,KEN,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,255883226.1,288987462.3,320422945.4,395633114.4,432089152.2,520606790.7,396463184.4,400830409.3,362543211.3,386225078.3,413884598,468514793.1,546294603.4,592772903.7,624864300.8,773649597.1,739373948.8,757461161.6,960099324.8,1158678225,1186868964,1168435889,1657536819,1909016305,2069042199,731035707.1,826654017.2,775125566.3,878837947.6,1229574638,1525401933,1986533720,2417637851,2530984034,2197916705,3016237618,3345241237,4012144420,4200098448,4116095696,3708754663,3368512250,3784984635,4625765689,4628441239,2867194003,4261963606,5598485508,4805644373
Kenya,KEN,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,109700000,114500000,121700000,139800000,146400000,141300000,171900000,165300000,251464000,271876000,303137000,315831000,359695000,472386000,600470000,599015000,787322000,1183894000,1019854000,1102491000,1387452000,1172761000,993267000,968281000,1079035000,952757998,1193624277,956321186.9,1066218481,964392620.7,1116203000,1009475000,1333783000,1280339084,1618648244,1826001106,1994476185,1948742224,1916640043,2029219481,1737200970,1790226700,2046711294,2351439548,2604135637,3298431193,3334732346,3876508428,5000937253,4155471521,4733263511,5667651052,5794380550,5567873519,5899207011,5938399701,5694754419,5745287445,6051032054,5833239222,5841573949,,,
Kenya,KEN,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,0.729261623,0.611353712,0.739523418,0.858369099,1.229508197,2.052370842,1.396160558,1.633393829,1.829287691,1.190984125,1.082678789,1.729405916,1.573833387,1.373241375,1.704997752,2.663038488,1.326522058,2.434846363,3.061222489,2.860975736,2.999166818,3.88587274,2.796126319,2.19564362,3.015472158,3.015472158,3.015472158,1.760148004,1.395280676,1.395280676,3.78604967,4.706208673,3.768903937,5.110932906,3.958630495,4.311298593,5.705394492,4.422687322,6.806569991,4.080712822,7.081258998,7.269661658,6.221676471,4.823863709,4.824926521,4.725869205,5.64969942,5.686705758,6.175104253,5.35630948,6.563882473,6.393019642,5.959385115,5.662596123,5.034673532,4.888357531,5.293261005,5.116104526,4.935505833,4.897542362,4.769634818,,,
Kenya,KEN,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,6.381039198,5.589519651,5.176663928,5.078683834,6.215846995,7.28945506,6.922629436,7.622504537,5.487863074,4.445776751,5.438465116,5.385475143,6.280042814,6.069824254,5.847752594,6.762434997,4.470343773,4.913108775,6.441608309,7.317792163,8.239708473,9.605708239,6.920797731,8.312049911,10.78732386,10.78732386,10.78732386,9.702125328,6.445500294,6.445500295,11.07173158,14.73805691,11.74658846,14.61488445,13.47904313,12.47339628,12.38271679,12.85499818,18.53990943,16.14138066,18.97200777,18.86916752,16.77220554,16.25595803,17.06042564,16.2867857,17.23485508,17.61624399,18.74384969,17.66459665,20.59390999,19.41366898,19.77016389,20.41690317,18.17712269,20.38022188,22.42093179,24.04412632,23.57561767,20.68699892,21.56552528,,,
Kenya,KEN,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,1.05149932,0.700331052,0.856728598,0.76109788,2.477027566,4.011628167,2.396928404,2.13004947,2.063852478,2.445061723,2.050675041,2.597217009,,,2.904879985,3.306118525,2.370970821,2.880214471,2.604813464,2.798110462,2.74478502,2.814784681,2.641518106,2.89757544,3.159928519,3.50360665,2.178588072,2.954355608,5.508200951,1.935684676,2.459407134,2.826777927,3.221609445,1.965244083,1.985246144,,,2.205748185,,4.087410663,4.264898395,5.363543947,5.995356176,4.985782174,5.132656274,6.387467798,6.782612381,5.324280055
Kenya,KEN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,21.95588721,17.4863845,18.83357161,20.07808471,33.40114961,31.97618285,27.39815918,20.50229738,18.91958418,16.26826328,11.41975128,13.5612588,,,13.10135783,16.7874038,11.31551143,9.375279587,4.122781105,6.140491766,6.995792267,9.305891545,8.569098511,8.350682046,8.07794916,0.137453898,16.61653423,19.15510449,0.901139664,18.31992266,7.272915301,4.263711221,2.098216771,4.20130504,4.19535074,,,0.938271963,,10.40020547,7.463557566,1.006025734,0.834754874,7.73708033,6.748324933,0.924149796,1.373693794,1.864828748
Kenya,KEN,Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,26.46456879,26.69370003,27.27131353,24.22169082,27.83581388,27.73137149,31.63852995,27.82123868,29.45641396,28.0958755,32.43559914,34.08925835,42.0887819,54.86531173,52.67125477,51.86311118,58.16744726,49.72654643,48.62966936,50.60163146,51.22047846,62.36906552,69.83255771,73.65021743,73.97944704,83.42086272,79.55379501,88.40148145,93.64430206,83.88558653,91.01911046,88.35538169,95.61184178,97.31278142,102.4748404,100,101.022405,93.39637666,98.4216492,96.96982221,99.78874949,100.2677642,,
Kenya,KEN,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,73.66555925,65.78218736,67.40901213,67.36316695,72.59033699,71.98598131,74.77759914,76.91447736,72.71359347,72.27845398,73.43348488,74.17963225,70.37614679,70.71464903,72.39494163,66.18692954,66.96710698,63.78509017,49.77995851,42.45752172,45.20916164,42.33005849,42.37005197,43.98726364,52.36581891,49.77995851,42.45752172,45.20916164,42.33005849,42.35295007,44.01084053,53.61432718,51.88075753,50.11751975,50.99204712,49.46697782,54.24577028,57.64641383,56.71106927,49.16947947,46.50039685,38.28618181,36.23732492,38.63127685,40.29959126,35.21979552,40.79079102,42.26452508,36.3505934
